SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE OF RETOUCH,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K13-a,4.1 int,4,98.39,98.34,Obsidian,Obsidian,,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,3,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,13.56,8.18,1,,,0.11,None,
K13-4901-5007-a,4.1,4,98.43,98.42,Obsidian,Obsidian,,Flake,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,7.05,4.36,0.77,,,0.01,None,
K13-4901/5007-small,4.1,4,98.43,98.42,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4517/4616-a,4.1,4,98.49,98.48,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Irregular,Feather,A symetric to the left,Yes,5,Along axis side,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.54,9.45,15.83,9.21,1.23,4.04,0.9,0.2,Photo high resolution,
K13-4517/4616-b,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,Yes,4,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.76,3.9,5.17,4,0.95,2.19,0.82,0.01,Photo+3d,
K13-4517/4616-c,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Trapezoidal,Feather,A symetric to the right,,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.6,6.32,5.81,3.76,0.57,1.49,0.59,0.01,None,
K13-d,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake<5mm,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4022/4178-a,4.1,4,98.58,98.57,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,4.59,6.29,6.93,4.68,1.12,3.3,1.28,0.01,None,
K13-4022/4178-b,4.1,4,98.58,98.57,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,,5,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.8,9.04,9.13,5.77,1.13,1.83,0.84,0.01,None,
K13-4022/4178-c,4.1,4,98.58,98.57,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4022/4178-d,4.1,4,98.58,98.57,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4022/4178-e,4.1,4,98.58,98.57,Chert (red),Non-Obsidian,,Bladelet,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,,,,Feather,,,3,Along axis,,,Yes,Bladelet,Pre detachment,Module 2,,Proximal,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,,,13.78,5.02,0.81,,,0.05,None,
K13-4419/4421,4.1,4,98.51,98.49,Obsidian,Obsidian,,Kombewa,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,,,,,Feather,,,1,Plain,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,7.46,4.71,0.66,,,0.01,None,
K13-4862/4881,4.1,4,98.47,98.44,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-small,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake<5mm,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-small,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-small,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-small,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-small,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4368/4416-a,4.1,4,98.54,98.53,Hatis beta,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Hinge,Symmetrical,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.81,9.14,11.1,7.44,2.25,5.54,2.4,0.16,None,
K13-4368/4416-b,4.1,4,98.54,98.53,Hatis alpha,Obsidian,50,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Leaf shaped,Feather,A symetric to the left,,6,Along axis side,Punctiform,Not lipped,Yes,Bladelet,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,11.4,4.42,11.55,4.43,0.88,1.92,0.67,0.01,None,
K13-4368/4416-c,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Trapezoidal,Feather,Symmetrical,,2,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.82,4.03,6.04,4.19,0.82,2.66,0.71,0,None,
K13-4368/4416-d,4.1,4,98.54,98.53,Chert,Non-Obsidian,,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,7.76,6.91,1.1,,,0.01,None,
K13-4882/4900,4.1,4,98.44,98.43,Geghasar-1,Obsidian,40,Kombewa,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,,,,,Feather,,,1,Plain,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,16.25,7.07,2.18,,,0.14,None,
K13-5008/5052-small,4.1,4,98.43,98.42,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-5008/5052-small,4.1,4,98.43,98.42,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-5008/5052-small,4.1,4,98.43,98.42,Obsidian,Obsidian,,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-5008/5052-a,4.1,4,98.43,98.42,Geghasar-1,Obsidian,40,Flake,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,14.95,7.96,1.57,,,0.12,None,
K13-5008/5052-b,4.1,4,98.43,98.42,Gutansar,Obsidian,58,Kombewa,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,,,,,,,,1,Plain,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,9.93,7.5,0.56,,,0.05,None,
K13-5008/5052-c,4.1,4,98.43,98.42,Obsidian,Obsidian,,Bladelet,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.19,2.8,0.75,,,0,None,
K13-a,4.1,4,98.49,98.45,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Feather,Symmetrical,,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.99,5.87,9.31,8.68,1.32,3.91,1.64,0.11,None,
K13-b,4.1,4,98.49,98.45,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Irregular,Feather,Symmetrical,,4,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.42,4.15,7.44,4.76,1.27,1.8,0.86,0.01,None,
K13-5195/5257-a,4.1 int,4,98.4,98.38,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Feather,A symetric to the left,,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,8.46,9.12,11.07,8.51,2.53,2.72,1.21,0.18,None,
K13-5195/5257-b,4.1 int,4,98.4,98.38,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,A symetric to the left,,8,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,7.13,6.38,11.42,6.74,0.94,,,0.04,Photo high resolution,
K13-5490/5510-a,4.2,4,98.32,98.32,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,Straight,Straight,Straight,Irregular,Feather,Symmetrical,,2,Along axis side,Crushed,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,5.57,6.83,9.73,5.9,0.82,,,0.01,None,
K13-5490/5510-b,4.2,4,98.32,98.32,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,,4,Along axis,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,7.89,4.25,7.84,4.19,0.68,3.15,0.97,0.01,None,
K13-5490/5510-c,4.2,4,98.32,98.32,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,Yes,1,Plain,Punctiform,Not lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,2.81,6.37,6.47,3.02,0.71,1.41,0.62,0.01,None,
K13-5260/5284-a,4.1 int,4,98.4,98.38,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,Yes,3,Along axis,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.03,5.41,7.68,9.05,0.91,1.63,0.59,0.01,None,
K13-5260/5284-small,4.1,4,98.4,98.4,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-5260/5284-small,4.1 int,4,98.4,98.38,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4315/4366-small,4.1,4,98.55,98.53,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-4315/4366-small,4.1,4,98.55,98.53,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-3862/4017-a,4.1,4,98.59,98.57,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Concave,Sub rectangular,Feather,Symmetrical,,6,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,6.95,6.64,9.39,7.42,0.71,1.92,1.16,0.04,None,
K13-3862/4017-b,4.1,4,98.59,98.57,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Pointed,Feather,Symmetrical,,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.53,3.39,6.49,3.51,0.73,2.82,1.2,0.01,None,
K13-3862/4017-c,4.1,4,98.59,98.57,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Polyhedral,Oval,Feather,Symmetrical,,11,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,4.39,8.06,8.08,4.51,1.17,0.64,1.04,0.01,Photo+3d,Two ventrals
K13-3862/4017-small,4.1,4,98.59,98.57,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
K13-3862/4017,4.1,4,98.59,98.57,Tsaghk-2 ttavakar,Obsidian,86,Pebble,Complete,Fresh,Patina,100,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,0,3.67,1.73,,,0.01,None,
K13-5513,4.2,4,98.32,98.32,Pokr arteni-1,Obsidian,101,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,Straight,Irregular,Polyhedral,Sub rectangular,Retouched,Symmetrical,,40,Centripetal,Removed,Not lipped,Yes,Flake,Post detachment,,19. Convex convergent scraper,Circumference,Dorsal,Quina,No,Convergent,No,,,,,,,,,,,,,,33.01,23.83,34.64,23.74,9.69,,,6.65,Photo+3d,
K13-4624,4.1,4,98.49,98.49,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Oblique,Irregular,Feather,Symmetrical,,4,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,19.84,11.37,20.4,11.71,2.32,4.32,1.22,0.47,None,
K13-4159,4.1,4,98.55,98.55,Obsidian,Obsidian,,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,12,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,,,Proximal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,,,23.21,8.29,3.47,4.97,1.28,0.56,None,
K13-4636,4.1,4,98.49,98.49,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Irregular,Polyhedral,Trapezoidal,Feather,Symmetrical,,9,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,9.66,6.54,10,8.31,1.98,1.31,0.79,0.1,Photo+3d,
K13-5600,4.2,4,98.29,98.29,Geghasar-1,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,5,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,17.17,8.52,2.37,,,0.29,None,
J14-a/b-4316/4365,3.2,3,98.87,98.82,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Irregular,Feather,Symmetrical,,3,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,5.07,5.87,6.13,5.31,0.66,,,0,None,
J14-a/b-4100/4154,3.2,3,99.02,98.97,Obsidian,Obsidian,,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.02,5.66,0.45,,,0,None,
J14-a/b-3979/4087-small,3.2,3,99.07,99.03,Obsidian,Obsidian,,Flake<5mm,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-3979/4087-small,3.2,3,99.07,99.03,Obsidian,Obsidian,,Flake<5mm,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-3979/4087-a,3.2,3,99.07,99.03,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Irregular,Hinge,A symetric to the left,,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,3.12,4.61,7.21,4.04,1.23,3.15,0.51,0.01,None,
J14-a/b-3979/4087-b,3.2,3,99.07,99.03,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Irregular,Feather,A symetric to the right,,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,3.3,4.87,6.3,3.76,0.53,2.15,0.65,0,None,
J14-a/b-4197/4210,3.2,3,98.92,98.88,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,Yes,3,Along axis side,Punctiform,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.92,3.8,6.03,4.58,0.88,0.9,0.87,0.01,None,Two ventrals
J14-a-b-3861/3978-a,3.2,3,99.15,99.07,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Irregular,Feather,Symmetrical,,2,Along axis opposed,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,4.34,5.22,7.33,4.3,0.42,3.12,1.11,0.01,None,
J14-a/b-3861/3978-b,3.2,3,99.15,99.07,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,Yes,1,Plain,Plain,Not lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,5.92,4.46,6.2,4.01,1.71,3.52,1.44,0.07,None,
J14-a/b-3861/3978-c,3.2,3,99.15,99.07,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Irregular,Feather,Symmetrical,Yes,5,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,5.25,4.84,5.45,5.34,0.96,,,0.01,None,
J14-a/b-4369-4439-small,3.2,3,98.82,98.77,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-4369/4439-small,3.2,3,98.82,98.77,Obsidian,Obsidian,,Pebble,Complete,Fresh,No patina,100,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,3.41,3.27,1.78,,,0,None,
J14-a/b-4990/4991-small,4.1,4,98.64,98.59,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-4509/4518-small,3.2,3,98.62,98.67,Obsidian,Obsidian,,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-4864/4890,4.1,4,98.59,98.57,Obsidian,Obsidian,,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,8.48,5.28,0.81,,,0.01,None,
J14-a/b-5025/5080-a,4.1,4,98.52,98.49,Obsidian,Obsidian,,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,5.73,4.44,0.91,2.96,0.65,0.01,None,
J14-a/b-5025/5080-small,4.1,4,98.52,98.49,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-5025/5080-small,4.1,4,98.52,98.49,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-5025/5080-small,4.1,4,98.52,98.49,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-4587/4769-small,4.1,4,98.67,98.4,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-a/b-4587/4769-a,4.1,4,98.67,98.4,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Sub rectangular,Feather,Symmetrical,,4,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.18,3.98,6.33,3.44,0.64,1.55,0.77,0.01,None,
J14-a/b-4587/4769-b,4.1,4,98.67,98.4,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Twisted,Leaf shaped,Feather,Symmetrical,,1,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,5.86,2.75,5.86,2.74,0.39,,,0.01,None,
