SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE OF RETOUCH,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K14b-998/1000-small,0.2,0,99.89,99.89,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Sub triangular,Feather,Symmetrical,,3,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.53,2.38,6.52,2.83,0.37,,,,Photo high resolution,
K14b-998/1000-small,0.2,0,99.89,99.89,Obsidian,Obsidian,,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,4.05,2.44,0.35,,,,None,
K14b-998/1000-small,0.2,0,99.89,99.89,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Sub rectangular,Feather,Symmetrical,,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,3.98,1.93,3.74,2.09,0.26,1.34,0.45,,None,
K14-650/704-a,0.2,0,99.96,99.89,Geghasar,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,6,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,5.97,4.43,0.73,3.16,0.86,,Photo high resolution,
K14-1769/1785,4.1,4,98.79,98.77,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,2.47,2.33,,,,None,
K14-1038/1043-a,1.3,1,99.68,99.63,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Sub rectangular,Feather,Symmetrical,,4,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,5.4,5.48,6.66,5.36,1.2,3.11,0.71,,Photo high resolution,
K14-1038/1043-b,1.3,1,99.68,99.63,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Sub rectangular,Feather,Symmetrical,,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.87,3.56,4.69,3.55,1.17,2.41,1.04,,None,
K14-610/630,0.2,0,100,99.95,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Irregular,Feather,A symetric to the right,Yes,7,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.83,4.48,8.96,4.97,0.84,3.7,1.1,,Photo high resolution,
K14-1090/1099-a,1.4,1,99.55,99.52,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,10.49,6.16,1.18,,,,None,
K14-1090/1099-b,1.4,1,99.55,99.52,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,3,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,6.53,4.9,0.99,,,,None,
